,pc1_share
2023-08-30,0.9227352591757104
2023-08-31,0.9227345890304278
2023-09-01,0.9227340403545751
2023-09-05,0.9227333565120437
2023-09-06,0.9227323690496112
2023-09-07,0.9227319110421567
2023-09-08,0.9227310310067355
2023-09-11,0.9227304216172886
2023-09-12,0.9227298327207802
2023-09-13,0.9227294009212088
2023-09-14,0.922728736693627
2023-09-15,0.922728249304191
2023-09-18,0.92272769296677
2023-09-19,0.9227270392448438
2023-09-20,0.9227265022687101
2023-09-21,0.9227264950927179
2023-09-22,0.9227261852905866
2023-09-25,0.9227250377059348
2023-09-26,0.9227242186390036
2023-09-27,0.9227238722568957
2023-09-28,0.9227241712904876
2023-09-29,0.922723652716955
2023-10-02,0.9227256641429246
2023-10-03,0.9227231778407875
2023-10-04,0.9227228003406487
2023-10-05,0.9227221084698206
2023-10-06,0.9227211141922962
2023-10-09,0.9227206478188787
2023-10-10,0.922718919984212
2023-10-11,0.922717950934612
2023-10-12,0.9227171841171663
2023-10-13,0.9227166077136884
2023-10-16,0.922717066381511
2023-10-17,0.9227161963712245
2023-10-18,0.9227151303023207
2023-10-19,0.9227146637236048
2023-10-20,0.9227138360846606
2023-10-23,0.9227133393263821
2023-10-24,0.9227125859491309
2023-10-25,0.9227118192430408
2023-10-26,0.9227112982513089
2023-10-27,0.9227108800024124
2023-10-30,0.9227108489751654
2023-10-31,0.9227099833295634
2023-11-01,0.9227094618295552
2023-11-02,0.9227082324797561
2023-11-03,0.9227075449675389
2023-11-06,0.9227069548486434
2023-11-07,0.9227061400985459
2023-11-08,0.9227053765429488
2023-11-09,0.9227045906289523
2023-11-10,0.9227036104301828
2023-11-13,0.9227034567754664
2023-11-14,0.922702827756453
2023-11-15,0.9227026821981702
2023-11-16,0.9227019637539822
2023-11-17,0.9227012682144505
2023-11-20,0.9227007148470305
2023-11-21,0.9227003260339744
2023-11-22,0.9226997710635523
2023-11-24,0.922699351597894
2023-11-27,0.9227020678114458
2023-11-28,0.9227017926728457
2023-11-29,0.9227012487539024
2023-11-30,0.9227008824225802
2023-12-01,0.9227005313992573
2023-12-04,0.9227004184384663
2023-12-05,0.9226998015720859
2023-12-06,0.9226992127714116
2023-12-07,0.9226986820884585
2023-12-08,0.9226981223318733
2023-12-11,0.922697356215063
2023-12-12,0.92269659162492
2023-12-13,0.9226962069836168
2023-12-14,0.9226959530817624
2023-12-15,0.9226954549027426
2023-12-18,0.9226953331205046
2023-12-19,0.9226948182486745
2023-12-20,0.9226942482835283
2023-12-21,0.922694207415024
2023-12-22,0.9226950689304266
2023-12-26,0.9226947820313036
2023-12-27,0.9226943773773537
2023-12-28,0.9226938918553874
2023-12-29,0.9226936073592861
2024-01-02,0.9226954596675301
2024-01-03,0.9226949388611484
2024-01-04,0.9226944506998154
2024-01-05,0.9226939607543797
2024-01-08,0.9226936825782548
2024-01-09,0.9226933358757103
2024-01-10,0.9226922672980824
2024-01-11,0.9226919207750098
2024-01-12,0.9226908753709062
2024-01-16,0.922690121091352
2024-01-17,0.9226895565300445
2024-01-18,0.9226889552788934
2024-01-19,0.9226883431256026
2024-01-22,0.9226880403722666
2024-01-23,0.9226876039358772
2024-01-24,0.9226874487367911
2024-01-25,0.9226871052489177
2024-01-26,0.9226866781180356
2024-01-29,0.9226863443705221
2024-01-30,0.9226855414614402
2024-01-31,0.92268517612697
2024-02-01,0.9226869223292872
2024-02-02,0.9226865588116693
2024-02-05,0.9226863289978002
2024-02-06,0.9226855578480031
2024-02-07,0.922685102579514
2024-02-08,0.9226847685904352
2024-02-09,0.9226843849708316
2024-02-12,0.9226841604804326
2024-02-13,0.9226838583144589
2024-02-14,0.9226837442018926
2024-02-15,0.9226835331352089
